,,"Philadelphia, United States","Denver, United States","Ghent, Belgium","Amsterdam, Netherlands","Dhaka Metropolitan, Bangladesh"
entrance_300,1 high,0.131238148,0.126209921,0.141408836,0.136936434,0.014017909
entrance_300,2 medium,0.07425785,0.075736235,0.063619847,0.06331674,0.018167755
entrance_300,3 low,0.100470253,0.086568091,0.063161062,0.070515962,0.020494007
entrance_300,4 no,0.694033749,0.711485752,0.731810256,0.729230864,0.947320329
entrance_600,1 high,0.103198288,0.075577715,0.153850885,0.079079167,0.008741954
entrance_600,2 medium,0.263818396,0.247816331,0.159648863,0.222029872,0.04763751
entrance_600,3 low,0.30783236,0.312853524,0.152821943,0.229684767,0.110309933
entrance_600,4 no,0.325150956,0.36375243,0.533678309,0.469206194,0.833310603
entrance_1000,1 high,0.175405529,0.097885148,0.238983758,0.101741418,0.004494693
entrance_1000,2 medium,0.3229286,0.315688679,0.166866415,0.258882201,0.0447521
entrance_1000,3 low,0.389515198,0.462628329,0.196444749,0.353998919,0.227392104
entrance_1000,4 no,0.112150672,0.123797844,0.397705078,0.285377462,0.723361103
gravity**(1/2)_300,1 high,0.123025353,0.13029503,0.140192058,0.140713813,0.032992254
gravity**(1/2)_300,2 medium,0.072420431,0.072151323,0.055845436,0.066331967,0.02754485
gravity**(1/2)_300,3 low,0.083026134,0.093260214,0.065415092,0.074195227,0.033300083
gravity**(1/2)_300,4 no,0.721528082,0.704293434,0.738547414,0.718758993,0.906162814
gravity**(1/2)_600,1 high,0.035303859,0.038265489,0.109041222,0.047054135,0.018421032
gravity**(1/2)_600,2 medium,0.271209512,0.288201492,0.197525221,0.258598986,0.089245079
gravity**(1/2)_600,3 low,0.321100746,0.337454144,0.170701259,0.201262633,0.164589146
gravity**(1/2)_600,4 no,0.372385883,0.336078875,0.522732297,0.493084246,0.727744744
gravity**(1/2)_1000,1 high,0.036135898,0.029125943,0.155549719,0.033112375,0.016086987
gravity**(1/2)_1000,2 medium,0.323170083,0.358717272,0.247263497,0.284324004,0.091335588
gravity**(1/2)_1000,3 low,0.524472415,0.512952064,0.227564001,0.390616078,0.260232391
gravity**(1/2)_1000,4 no,0.116221604,0.099204721,0.369622782,0.291947543,0.632345033
gravity**(1/3)_300,1 high,0.117767331,0.119887322,0.129934224,0.128388401,0.022968329
gravity**(1/3)_300,2 medium,0.064082114,0.070631457,0.054718421,0.070110863,0.022789086
gravity**(1/3)_300,3 low,0.080686623,0.083154552,0.058908989,0.06529621,0.024928303
gravity**(1/3)_300,4 no,0.737463932,0.726326669,0.756438366,0.736204526,0.929314282
gravity**(1/3)_600,1 high,0.036151041,0.037231895,0.09568659,0.040400607,0.01043891
gravity**(1/3)_600,2 medium,0.253361727,0.263463773,0.183455815,0.244265783,0.066418975
gravity**(1/3)_600,3 low,0.316977213,0.321773498,0.173495526,0.206831852,0.127337942
gravity**(1/3)_600,4 no,0.393510019,0.377530834,0.547362069,0.508501758,0.795804174
gravity**(1/3)_1000,1 high,0.036365027,0.033449903,0.137168399,0.030206388,0.005334404
gravity**(1/3)_1000,2 medium,0.312255952,0.325057437,0.230295102,0.254839308,0.072022242
gravity**(1/3)_1000,3 low,0.536915536,0.52341761,0.223641057,0.401085421,0.272964432
gravity**(1/3)_1000,4 no,0.114463485,0.118075051,0.408895442,0.313868883,0.649678923
gravity**(1/5)_300,1 high,0.118312858,0.11875733,0.129925913,0.127314713,0.01777615
gravity**(1/5)_300,2 medium,0.064536786,0.067941969,0.056136332,0.066354726,0.019233467
gravity**(1/5)_300,3 low,0.078977517,0.084772957,0.060694261,0.062131283,0.025458237
gravity**(1/5)_300,4 no,0.738172838,0.728527744,0.753243493,0.744199278,0.937532147
gravity**(1/5)_600,1 high,0.045432973,0.042504833,0.105449069,0.046869034,0.007044998
gravity**(1/5)_600,2 medium,0.24677874,0.258405051,0.176254885,0.232406159,0.060133808
gravity**(1/5)_600,3 low,0.324917842,0.308011161,0.164356396,0.215590273,0.11164256
gravity**(1/5)_600,4 no,0.382870445,0.391078955,0.55393965,0.505134535,0.821178634
gravity**(1/5)_1000,1 high,0.055438556,0.046493544,0.156598608,0.03627275,0.003695896
gravity**(1/5)_1000,2 medium,0.326366338,0.311350796,0.202468795,0.253168846,0.054025936
gravity**(1/5)_1000,3 low,0.505337121,0.512179813,0.229211305,0.393185748,0.266412351
gravity**(1/5)_1000,4 no,0.112857985,0.129975847,0.411721291,0.317372656,0.675865818
