,,"Philadelphia, United States","Denver, United States","Ghent, Belgium","Amsterdam, Netherlands","Dhaka Metropolitan, Bangladesh","Dublin, Ireland","Vancouver, Canada","Tel Aviv, Israel","Washington DC, United States"
entrance_300,1 high,0.83%,0.75%,5.34%,1.45%,0.07%,3.69%,4.01%,11.38%,5.18%
entrance_300,2 medium,10.76%,11.20%,17.35%,12.38%,1.51%,19.69%,21.97%,27.94%,22.15%
entrance_300,3 low,19.06%,16.52%,19.23%,14.86%,3.78%,22.54%,28.81%,27.63%,29.23%
entrance_300,4 no,69.35%,71.53%,58.08%,71.32%,94.64%,54.08%,45.20%,33.06%,43.44%
entrance_600,1 high,10.97%,7.04%,30.62%,9.11%,0.84%,22.71%,30.24%,53.11%,38.70%
entrance_600,2 medium,27.13%,25.63%,18.99%,23.37%,5.01%,31.15%,35.49%,23.73%,30.26%
entrance_600,3 low,31.84%,30.39%,14.59%,25.04%,10.68%,25.55%,26.03%,15.95%,22.44%
entrance_600,4 no,30.06%,36.93%,35.80%,42.48%,83.47%,20.59%,8.24%,7.21%,8.61%
entrance_1000,1 high,42.44%,29.88%,57.16%,32.20%,2.74%,61.81%,77.05%,88.08%,73.77%
entrance_1000,2 medium,28.74%,33.25%,8.61%,26.33%,11.44%,22.24%,18.78%,6.77%,19.21%
entrance_1000,3 low,18.26%,24.07%,8.88%,19.16%,13.97%,12.35%,3.79%,3.04%,5.52%
entrance_1000,4 no,10.56%,12.80%,25.36%,22.31%,71.85%,3.60%,0.38%,2.12%,1.50%
gravity**(1/2)_300,1 high,0.23%,0.39%,3.46%,0.50%,0.15%,2.38%,1.95%,9.85%,1.76%
gravity**(1/2)_300,2 medium,11.18%,11.81%,15.85%,13.01%,1.77%,20.43%,21.36%,33.77%,26.71%
gravity**(1/2)_300,3 low,17.13%,17.24%,19.04%,14.35%,6.28%,20.61%,27.06%,27.28%,28.99%
gravity**(1/2)_300,4 no,71.47%,70.55%,61.65%,72.14%,91.80%,56.58%,49.63%,29.10%,42.54%
gravity**(1/2)_600,1 high,4.10%,4.03%,22.54%,5.10%,1.34%,16.34%,16.98%,55.07%,23.82%
gravity**(1/2)_600,2 medium,27.84%,28.44%,23.45%,25.49%,8.65%,32.94%,42.99%,25.42%,44.90%
gravity**(1/2)_600,3 low,31.86%,33.11%,18.25%,22.72%,16.44%,30.06%,28.27%,12.44%,24.67%
gravity**(1/2)_600,4 no,36.20%,34.42%,35.77%,46.68%,73.57%,20.66%,11.76%,7.07%,6.61%
gravity**(1/2)_1000,1 high,24.29%,25.17%,55.62%,22.71%,7.16%,54.20%,72.21%,87.77%,75.62%
