,,"Philadelphia, United States","Denver, United States","Ghent, Belgium","Amsterdam, Netherlands","Dhaka Metropolitan, Bangladesh"
entrance_300,1 high,0.006974699,0.010319879,0.023381412,0.010905291,0.000720865
entrance_300,2 medium,0.124263449,0.115890043,0.118027424,0.126031143,0.013297043
entrance_300,3 low,0.174728103,0.162304327,0.126780909,0.133832702,0.038661762
entrance_300,4 no,0.694033749,0.711485752,0.731810256,0.729230864,0.947320329
entrance_600,1 high,0.103198288,0.075577715,0.153850885,0.079079167,0.008741954
entrance_600,2 medium,0.263818396,0.247816331,0.159648863,0.222029872,0.04763751
entrance_600,3 low,0.30783236,0.312853524,0.152821943,0.229684767,0.110309933
entrance_600,4 no,0.325150956,0.36375243,0.533678309,0.469206194,0.833310603
entrance_1000,1 high,0.410002554,0.294073166,0.372835939,0.271854456,0.02845275
entrance_1000,2 medium,0.278679928,0.340074012,0.108778585,0.268368384,0.111081454
entrance_1000,3 low,0.199166846,0.242054979,0.120680398,0.174399698,0.137104693
entrance_1000,4 no,0.112150672,0.123797844,0.397705078,0.285377462,0.723361103
gravity**(1/2)_300,1 high,0.002666668,0.002568456,0.017839422,0.006885157,0.002082716
gravity**(1/2)_300,2 medium,0.120358685,0.127726574,0.122352636,0.133828656,0.030909537
gravity**(1/2)_300,3 low,0.155446565,0.165411537,0.121260528,0.140527194,0.060844932
gravity**(1/2)_300,4 no,0.721528082,0.704293434,0.738547414,0.718758993,0.906162814
gravity**(1/2)_600,1 high,0.035303859,0.038265489,0.109041222,0.047054135,0.018421032
gravity**(1/2)_600,2 medium,0.271209512,0.288201492,0.197525221,0.258598986,0.089245079
gravity**(1/2)_600,3 low,0.321100746,0.337454144,0.170701259,0.201262633,0.164589146
gravity**(1/2)_600,4 no,0.372385883,0.336078875,0.522732297,0.493084246,0.727744744
gravity**(1/2)_1000,1 high,0.219319872,0.252585861,0.351050302,0.213778203,0.074566701
gravity**(1/2)_1000,2 medium,0.409718434,0.404993386,0.147459478,0.292415859,0.163566296
gravity**(1/2)_1000,3 low,0.25474009,0.243216032,0.131867438,0.201858396,0.129521969
gravity**(1/2)_1000,4 no,0.116221604,0.099204721,0.369622782,0.291947543,0.632345033
gravity**(1/3)_300,1 high,0.002543137,0.00278053,0.014458376,0.00541952,0.00091959
gravity**(1/3)_300,2 medium,0.115224194,0.117106792,0.115475848,0.122968881,0.022048738
gravity**(1/3)_300,3 low,0.144768737,0.153786008,0.11362741,0.135407073,0.04771739
gravity**(1/3)_300,4 no,0.737463932,0.726326669,0.756438366,0.736204526,0.929314282
gravity**(1/3)_600,1 high,0.036151041,0.037231895,0.09568659,0.040400607,0.01043891
gravity**(1/3)_600,2 medium,0.253361727,0.263463773,0.183455815,0.244265783,0.066418975
gravity**(1/3)_600,3 low,0.316977213,0.321773498,0.173495526,0.206831852,0.127337942
gravity**(1/3)_600,4 no,0.393510019,0.377530834,0.547362069,0.508501758,0.795804174
gravity**(1/3)_1000,1 high,0.220991122,0.220664392,0.303125556,0.181482094,0.046211366
gravity**(1/3)_1000,2 medium,0.38310356,0.389247404,0.16372806,0.300300865,0.139723188
gravity**(1/3)_1000,3 low,0.281441834,0.272013153,0.124250942,0.204348158,0.164386524
gravity**(1/3)_1000,4 no,0.114463485,0.118075051,0.408895442,0.313868883,0.649678923
gravity**(1/5)_300,1 high,0.003982468,0.00359241,0.015607001,0.00565216,0.00091959
gravity**(1/5)_300,2 medium,0.11433039,0.11516492,0.114318912,0.121662552,0.016856559
gravity**(1/5)_300,3 low,0.143514303,0.152714926,0.116830594,0.128486009,0.044691703
gravity**(1/5)_300,4 no,0.738172838,0.728527744,0.753243493,0.744199278,0.937532147
gravity**(1/5)_600,1 high,0.045432973,0.042504833,0.105449069,0.046869034,0.007044998
gravity**(1/5)_600,2 medium,0.24677874,0.258405051,0.176254885,0.232406159,0.060133808
gravity**(1/5)_600,3 low,0.324917842,0.308011161,0.164356396,0.215590273,0.11164256
gravity**(1/5)_600,4 no,0.382870445,0.391078955,0.55393965,0.505134535,0.821178634
gravity**(1/5)_1000,1 high,0.256760812,0.234150391,0.305524203,0.186564284,0.034227466
gravity**(1/5)_1000,2 medium,0.369358187,0.366536173,0.157173752,0.294932931,0.116922412
gravity**(1/5)_1000,3 low,0.261023017,0.269337589,0.125580754,0.201130129,0.172984305
gravity**(1/5)_1000,4 no,0.112857985,0.129975847,0.411721291,0.317372656,0.675865818
