decay variant & threshold,category,Philadelphia,Denver,Ghent,Amsterdam,Dhaka,Dublin,"Vancouver, Canada","Tel Aviv, Israel","Washington DC, United States","Shanghai, China"
entrance_300,1 high,1.10%,1.30%,0.90%,0.40%,0.20%,5.20%,4.36%,22.77%,6.28%,0.25%
entrance_300,2 medium,15.70%,15.90%,11.20%,10.70%,2.00%,24.60%,22.28%,38.21%,20.01%,2.00%
entrance_300,3 low,20.60%,20.00%,12.10%,11.90%,5.20%,23.70%,25.66%,20.93%,26.41%,3.34%
entrance_300,4 no,62.50%,62.80%,75.70%,77.00%,92.70%,46.60%,47.71%,18.09%,47.30%,94.41%
entrance_600,1 high,13.50%,11.60%,9.10%,3.80%,1.80%,32.70%,28.48%,73.98%,37.95%,1.27%
entrance_600,2 medium,31.00%,31.70%,18.20%,21.40%,6.80%,29.70%,33.62%,16.06%,27.70%,4.81%
entrance_600,3 low,31.50%,33.00%,17.20%,23.60%,14.10%,22.50%,27.28%,7.60%,21.61%,7.77%
entrance_600,4 no,23.90%,23.70%,55.60%,51.20%,77.40%,15.10%,10.62%,2.36%,12.74%,86.15%
entrance_1000,1 high,48.80%,44.20%,28.80%,18.90%,6.60%,73.30%,72.72%,95.66%,75.26%,4.22%
entrance_1000,2 medium,30.00%,32.90%,16.50%,29.30%,12.70%,15.10%,20.46%,2.76%,14.36%,8.38%
entrance_1000,3 low,14.70%,17.50%,14.10%,20.50%,15.40%,9.20%,5.96%,1.28%,7.02%,13.07%
entrance_1000,4 no,6.60%,5.40%,40.60%,31.20%,65.30%,2.40%,0.86%,0.29%,3.35%,74.33%
gravity**(1/2)_300,1 high,0.30%,0.70%,0.80%,0.30%,0.30%,5.00%,1.73%,10.09%,1.45%,0.04%
gravity**(1/2)_300,2 medium,14.20%,17.70%,12.80%,10.60%,3.20%,26.60%,23.38%,40.03%,20.85%,2.55%
gravity**(1/2)_300,3 low,16.60%,19.30%,12.10%,11.60%,7.30%,24.20%,24.61%,21.53%,23.99%,3.19%
gravity**(1/2)_300,4 no,68.80%,62.30%,74.30%,77.50%,89.20%,44.10%,50.28%,28.35%,53.71%,94.22%
gravity**(1/2)_600,1 high,4.30%,8.00%,8.40%,1.80%,3.00%,31.80%,15.49%,47.57%,17.67%,0.77%
gravity**(1/2)_600,2 medium,29.40%,34.60%,20.60%,21.90%,9.90%,33.20%,43.30%,30.85%,37.09%,5.32%
gravity**(1/2)_600,3 low,31.40%,32.60%,17.30%,21.80%,19.60%,26.30%,29.26%,16.14%,30.12%,8.83%
gravity**(1/2)_600,4 no,34.80%,24.80%,53.70%,54.50%,67.50%,8.70%,11.95%,5.44%,15.12%,85.08%
gravity**(1/2)_1000,1 high,23.60%,39.40%,28.80%,11.10%,11.20%,80.80%,68.82%,87.82%,60.71%,3.01%
gravity**(1/2)_1000,2 medium,40.80%,38.50%,16.80%,32.90%,17.90%,15.30%,25.22%,8.43%,27.66%,10.35%
gravity**(1/2)_1000,3 low,24.50%,16.10%,18.10%,23.90%,16.70%,3.60%,5.08%,3.36%,9.23%,14.26%
gravity**(1/2)_1000,4 no,11.10%,6.00%,36.20%,32.20%,54.10%,0.30%,0.88%,0.39%,2.40%,72.39%
gravity**(1/3)_300,1 high,0.30%,0.70%,0.70%,0.30%,0.10%,3.90%,1.69%,10.85%,1.83%,0.09%
gravity**(1/3)_300,2 medium,14.10%,16.10%,11.90%,10.40%,2.60%,25.20%,22.59%,40.60%,18.72%,2.28%
gravity**(1/3)_300,3 low,16.50%,19.10%,11.30%,11.20%,6.10%,21.60%,23.56%,22.26%,22.67%,2.84%
gravity**(1/3)_300,4 no,69.10%,64.10%,76.00%,78.10%,91.20%,49.30%,52.16%,26.29%,56.78%,94.79%
gravity**(1/3)_600,1 high,4.90%,7.20%,6.60%,1.80%,2.00%,24.20%,14.44%,48.99%,15.79%,0.72%
gravity**(1/3)_600,2 medium,28.80%,33.30%,20.10%,21.40%,7.80%,34.30%,41.56%,31.63%,35.05%,4.80%
gravity**(1/3)_600,3 low,31.90%,32.00%,17.50%,21.50%,15.30%,26.10%,30.47%,12.20%,30.74%,8.04%
gravity**(1/3)_600,4 no,34.30%,27.40%,55.80%,55.30%,74.90%,15.50%,13.53%,7.18%,18.42%,86.44%
gravity**(1/3)_1000,1 high,25.80%,36.00%,25.40%,10.30%,8.30%,64.40%,62.07%,86.21%,56.17%,2.86%
gravity**(1/3)_1000,2 medium,40.50%,38.80%,18.80%,33.10%,16.40%,24.70%,29.22%,10.16%,28.39%,9.06%
