,,"Philadelphia, United States","Denver, United States","Ghent, Belgium","Amsterdam, Netherlands","Dhaka Metropolitan, Bangladesh","Dublin, Ireland","Vancouver, Canada","Tel Aviv, Israel","Washington DC, United States","Shanghai, China"
entrance_300,1 high,11.59%,11.96%,22.69%,13.83%,1.58%,23.38%,25.98%,39.32%,27.33%,2.38%
entrance_300,2 medium,9.00%,7.90%,9.16%,7.02%,1.74%,10.59%,14.28%,14.66%,14.58%,1.65%
entrance_300,3 low,10.06%,8.61%,10.07%,7.83%,2.04%,11.94%,14.53%,12.97%,14.65%,1.81%
entrance_300,4 no,69.35%,71.53%,58.08%,71.32%,94.64%,54.08%,45.20%,33.06%,43.44%,94.16%
entrance_600,1 high,10.97%,7.04%,30.62%,9.11%,0.84%,22.71%,30.24%,53.11%,38.70%,1.07%
entrance_600,2 medium,27.13%,25.63%,18.99%,23.37%,5.01%,31.15%,35.49%,23.73%,30.26%,5.32%
entrance_600,3 low,31.84%,30.39%,14.59%,25.04%,10.68%,25.55%,26.03%,15.95%,22.44%,8.14%
entrance_600,4 no,30.06%,36.93%,35.80%,42.48%,83.47%,20.59%,8.24%,7.21%,8.61%,85.48%
entrance_1000,1 high,18.85%,9.45%,44.53%,12.39%,0.57%,35.70%,43.21%,73.92%,55.61%,1.17%
entrance_1000,2 medium,33.04%,31.67%,15.13%,28.67%,4.19%,34.18%,41.70%,17.27%,25.99%,5.14%
entrance_1000,3 low,37.56%,46.07%,14.99%,36.63%,23.39%,26.52%,14.72%,6.70%,16.90%,22.03%
entrance_1000,4 no,10.56%,12.80%,25.36%,22.31%,71.85%,3.60%,0.38%,2.12%,1.50%,71.65%
gravity**(1/2)_300,1 high,11.41%,12.20%,19.31%,13.51%,1.92%,22.82%,23.31%,43.62%,28.47%,2.33%
gravity**(1/2)_300,2 medium,8.07%,8.17%,10.36%,7.10%,2.89%,9.76%,13.63%,14.98%,14.67%,1.59%
gravity**(1/2)_300,3 low,9.06%,9.08%,8.67%,7.25%,3.39%,10.84%,13.43%,12.30%,14.33%,1.74%
gravity**(1/2)_300,4 no,71.47%,70.55%,61.65%,72.14%,91.80%,56.58%,49.63%,29.10%,42.54%,94.34%
gravity**(1/2)_600,1 high,4.10%,4.03%,22.54%,5.10%,1.34%,16.34%,16.98%,55.07%,23.82%,0.65%
gravity**(1/2)_600,2 medium,27.84%,28.44%,23.45%,25.49%,8.65%,32.94%,42.99%,25.42%,44.90%,5.42%
gravity**(1/2)_600,3 low,31.86%,33.11%,18.25%,22.72%,16.44%,30.06%,28.27%,12.44%,24.67%,9.25%
gravity**(1/2)_600,4 no,36.20%,34.42%,35.77%,46.68%,73.57%,20.66%,11.76%,7.07%,6.61%,84.68%
gravity**(1/2)_1000,1 high,4.01%,3.15%,34.40%,4.14%,1.26%,23.12%,24.97%,70.93%,30.39%,0.62%
gravity**(1/2)_1000,2 medium,33.45%,35.96%,25.77%,29.19%,9.18%,41.31%,58.51%,20.53%,55.84%,4.85%
gravity**(1/2)_1000,3 low,51.04%,50.55%,17.04%,40.73%,26.18%,34.17%,15.98%,7.12%,13.56%,25.84%
gravity**(1/2)_1000,4 no,11.50%,10.34%,22.79%,25.94%,63.38%,1.40%,0.54%,1.41%,0.20%,68.69%
gravity**(1/3)_300,1 high,10.42%,11.34%,18.87%,12.69%,1.69%,20.87%,22.18%,39.31%,23.40%,2.22%
gravity**(1/3)_300,2 medium,7.65%,7.77%,9.39%,6.84%,1.74%,9.72%,12.31%,14.75%,15.09%,1.54%
gravity**(1/3)_300,3 low,9.01%,8.46%,8.66%,6.49%,2.54%,9.95%,14.25%,12.47%,12.85%,1.73%
gravity**(1/3)_300,4 no,72.93%,72.43%,63.08%,73.99%,94.03%,59.46%,51.27%,33.47%,48.66%,94.50%
gravity**(1/3)_600,1 high,4.02%,3.43%,19.66%,4.35%,0.81%,12.00%,14.72%,46.03%,18.60%,0.64%
gravity**(1/3)_600,2 medium,26.24%,26.92%,23.64%,24.02%,5.59%,33.87%,43.64%,30.38%,44.00%,5.21%
gravity**(1/3)_600,3 low,32.29%,31.84%,19.14%,23.34%,14.76%,29.00%,29.85%,15.07%,26.85%,8.35%
gravity**(1/3)_600,4 no,37.44%,37.82%,37.56%,48.29%,78.84%,25.14%,11.80%,8.53%,10.55%,85.80%
gravity**(1/3)_1000,1 high,4.30%,2.89%,30.93%,3.59%,0.60%,15.98%,22.21%,63.43%,27.55%,0.61%
gravity**(1/3)_1000,2 medium,32.47%,32.71%,25.21%,26.66%,6.44%,41.59%,57.39%,23.49%,51.76%,4.42%
gravity**(1/3)_1000,3 low,52.24%,52.54%,18.67%,41.94%,27.47%,39.04%,19.74%,10.96%,20.11%,24.04%
gravity**(1/3)_1000,4 no,10.99%,11.87%,25.19%,27.81%,65.50%,3.39%,0.66%,2.11%,0.57%,70.93%
gravity**(1/5)_300,1 high,10.21%,11.23%,19.59%,12.38%,1.53%,20.60%,21.91%,37.89%,22.03%,2.20%
gravity**(1/5)_300,2 medium,7.85%,7.35%,9.06%,6.77%,1.48%,9.76%,13.07%,13.98%,14.15%,1.56%
gravity**(1/5)_300,3 low,8.78%,8.29%,8.47%,6.68%,2.16%,9.57%,14.31%,12.86%,15.20%,1.69%
gravity**(1/5)_300,4 no,73.16%,73.13%,62.87%,74.16%,94.82%,60.07%,50.71%,35.27%,48.62%,94.55%
gravity**(1/5)_600,1 high,5.21%,4.07%,21.03%,5.07%,0.76%,13.66%,18.32%,45.68%,21.67%,0.71%
gravity**(1/5)_600,2 medium,25.42%,26.04%,22.70%,23.09%,4.89%,32.02%,40.31%,28.60%,39.56%,5.11%
gravity**(1/5)_600,3 low,33.13%,30.76%,18.60%,24.04%,12.12%,28.94%,30.67%,17.33%,27.92%,7.99%
gravity**(1/5)_600,4 no,36.23%,39.14%,37.67%,47.80%,82.23%,25.39%,10.70%,8.40%,10.86%,86.18%
gravity**(1/5)_1000,1 high,6.29%,4.42%,33.43%,4.41%,0.36%,18.63%,26.86%,63.85%,34.69%,0.72%
gravity**(1/5)_1000,2 medium,33.63%,31.08%,22.82%,26.80%,4.63%,40.76%,54.34%,23.70%,43.07%,4.51%
