distance decay variant & threshold,score-category,"Philadelphia, United States","Denver, United States","Ghent, Belgium","Amsterdam, Netherlands","Dhaka Metropolitan, Bangladesh","Dublin, Ireland"
entrance_300,1 high,0.16853364,0.171465294,0.121734274,0.111305894,0.021905519,0.29792653
entrance_300,2 medium,0.088019162,0.090560015,0.05659013,0.054878375,0.024202135,0.115342494
entrance_300,3 low,0.11820726,0.109516031,0.064218262,0.064166356,0.027386564,0.121175582
entrance_300,4 no,0.625239938,0.628458659,0.757457334,0.769649374,0.926505782,0.465555394
entrance_600,1 high,0.135443369,0.116214581,0.090736367,0.038044339,0.017628406,0.327118044
entrance_600,2 medium,0.31020893,0.316908642,0.181750331,0.21406263,0.0676533,0.296562164
entrance_600,3 low,0.314918237,0.329984416,0.171527405,0.236001693,0.140707085,0.225071777
entrance_600,4 no,0.239429464,0.236892362,0.555985897,0.511891339,0.774011209,0.151248014
entrance_1000,1 high,0.212041129,0.144736433,0.132824902,0.030573491,0.010823989,0.487166079
entrance_1000,2 medium,0.385986605,0.413409951,0.213760557,0.261147087,0.086710002,0.300386054
entrance_1000,3 low,0.336423326,0.387950323,0.246967614,0.395894052,0.249664025,0.188698313
entrance_1000,4 no,0.06554894,0.053903292,0.406446926,0.31238537,0.652801984,0.023749554
gravity**(1/2)_300,1 high,0.145584039,0.183522469,0.135815316,0.108839445,0.034971381,0.316374366
gravity**(1/2)_300,2 medium,0.079892839,0.091600036,0.059903023,0.056857572,0.032583423,0.123024805
gravity**(1/2)_300,3 low,0.086041078,0.101596448,0.060933627,0.059250934,0.040117333,0.119236857
gravity**(1/2)_300,4 no,0.688482044,0.623281047,0.743348033,0.775052049,0.892327864,0.441363971
gravity**(1/2)_600,1 high,0.043069553,0.08012446,0.084027467,0.01814591,0.030076439,0.317754941
gravity**(1/2)_600,2 medium,0.294260328,0.345874994,0.206036015,0.219368383,0.098798991,0.331787616
gravity**(1/2)_600,3 low,0.314254359,0.326096387,0.173197981,0.217930989,0.195974768,0.263310674
gravity**(1/2)_600,4 no,0.348415759,0.24790416,0.536738537,0.544554718,0.675149802,0.087146769
gravity**(1/2)_1000,1 high,0.032721272,0.0815897,0.113537648,0.00940238,0.023453773,0.479950302
gravity**(1/2)_1000,2 medium,0.35750084,0.449088777,0.229944364,0.212740164,0.132971207,0.39958026
gravity**(1/2)_1000,3 low,0.49841821,0.40929164,0.294280647,0.456059114,0.302341469,0.117634291
gravity**(1/2)_1000,4 no,0.111359678,0.060029883,0.362237341,0.321798342,0.541233552,0.002835147
gravity**(1/3)_300,1 high,0.14458105,0.167673663,0.126732703,0.107261701,0.027187291,0.29030694
gravity**(1/3)_300,2 medium,0.077892838,0.089435379,0.0550409,0.0500228,0.022599449,0.109536186
gravity**(1/3)_300,3 low,0.086678257,0.101533254,0.058117751,0.061798946,0.038088107,0.106715838
gravity**(1/3)_300,4 no,0.690847854,0.641357704,0.760108646,0.780916553,0.912125153,0.493441036
gravity**(1/3)_600,1 high,0.049251265,0.072383747,0.065581319,0.017532078,0.019671214,0.241618944
gravity**(1/3)_600,2 medium,0.287980987,0.333195521,0.201162255,0.213722083,0.078340224,0.342598244
gravity**(1/3)_600,3 low,0.319270898,0.320148666,0.175430402,0.215301416,0.153354599,0.260959679
gravity**(1/3)_600,4 no,0.343496849,0.274272066,0.557826024,0.553444423,0.748633964,0.154823133
gravity**(1/3)_1000,1 high,0.041844209,0.070004873,0.077549623,0.008096332,0.015606542,0.335130876
gravity**(1/3)_1000,2 medium,0.364250394,0.4337241,0.245880493,0.20369422,0.106957885,0.397724694
gravity**(1/3)_1000,3 low,0.501135087,0.432698003,0.27838275,0.446713934,0.303348202,0.256201312
gravity**(1/3)_1000,4 no,0.09277031,0.063573024,0.398187134,0.341495515,0.574087372,0.010943118
gravity**(1/5)_300,1 high,0.147036122,0.165404039,0.122208019,0.106402124,0.022897944,0.278840909
gravity**(1/5)_300,2 medium,0.081130536,0.092403348,0.054794885,0.051369099,0.021761922,0.114579266
gravity**(1/5)_300,3 low,0.091995255,0.097805888,0.059382735,0.060024183,0.029800961,0.100416216
gravity**(1/5)_300,4 no,0.679838087,0.644386725,0.763614361,0.782204594,0.925539172,0.506163608
gravity**(1/5)_600,1 high,0.063126544,0.077181125,0.066778149,0.021773821,0.019253902,0.241965674
gravity**(1/5)_600,2 medium,0.293894917,0.330036899,0.193833331,0.210492977,0.066536044,0.334796832
gravity**(1/5)_600,3 low,0.33241655,0.319727731,0.175269162,0.22247038,0.146451789,0.24287901
gravity**(1/5)_600,4 no,0.310561989,0.273054245,0.564119357,0.545262822,0.767758265,0.180358484
gravity**(1/5)_1000,1 high,0.073474427,0.079767789,0.079695606,0.010108366,0.010914087,0.341789208
gravity**(1/5)_1000,2 medium,0.386417767,0.433689825,0.246104899,0.218528932,0.094006278,0.368528951
gravity**(1/5)_1000,3 low,0.462087453,0.422921163,0.266146821,0.434858874,0.286608852,0.268735016
gravity**(1/5)_1000,4 no,0.078020354,0.063621222,0.408052674,0.336503827,0.608470784,0.020946825
