distance decay variant & threshold,score-category,"Philadelphia, United States","Denver, United States","Ghent, Belgium","Amsterdam, Netherlands","Dhaka Metropolitan, Bangladesh","Dublin, Ireland","Vancouver, Canada","Tel Aviv, Israel","Washington DC, United States","Shanghai, China"
entrance_300,1 high,16.85%,17.15%,12.17%,11.13%,2.19%,29.79%,26.63%,60.98%,26.29%,2.25%
entrance_300,2 medium,8.80%,9.06%,5.66%,5.49%,2.42%,11.53%,13.93%,10.68%,13.40%,1.80%
entrance_300,3 low,11.82%,10.95%,6.42%,6.42%,2.74%,12.12%,11.73%,10.25%,13.01%,1.54%
entrance_300,4 no,62.52%,62.85%,75.75%,76.96%,92.65%,46.56%,47.71%,18.09%,47.30%,94.41%
entrance_600,1 high,13.54%,11.62%,9.07%,3.80%,1.76%,32.71%,28.48%,73.98%,37.95%,1.27%
entrance_600,2 medium,31.02%,31.69%,18.18%,21.41%,6.77%,29.66%,33.62%,16.06%,27.70%,4.81%
entrance_600,3 low,31.49%,33.00%,17.15%,23.60%,14.07%,22.51%,27.28%,7.60%,21.61%,7.77%
entrance_600,4 no,23.94%,23.69%,55.60%,51.19%,77.40%,15.12%,10.62%,2.36%,12.74%,86.15%
entrance_1000,1 high,21.20%,14.47%,13.28%,3.06%,1.08%,48.72%,39.22%,89.61%,55.14%,1.67%
entrance_1000,2 medium,38.60%,41.34%,21.38%,26.11%,8.67%,30.04%,42.07%,7.34%,25.27%,4.87%
entrance_1000,3 low,33.64%,38.80%,24.70%,39.59%,24.97%,18.87%,17.86%,2.75%,16.24%,19.13%
entrance_1000,4 no,6.55%,5.39%,40.64%,31.24%,65.28%,2.37%,0.86%,0.29%,3.35%,74.33%
gravity**(1/2)_300,1 high,14.56%,18.35%,13.58%,10.88%,3.50%,31.64%,25.11%,50.12%,22.30%,2.59%
gravity**(1/2)_300,2 medium,7.99%,9.16%,5.99%,5.69%,3.26%,12.30%,12.60%,10.91%,10.92%,1.58%
gravity**(1/2)_300,3 low,8.60%,10.16%,6.09%,5.93%,4.01%,11.92%,12.01%,10.63%,13.07%,1.60%
gravity**(1/2)_300,4 no,68.85%,62.33%,74.33%,77.51%,89.23%,44.14%,50.28%,28.35%,53.71%,94.22%
gravity**(1/2)_600,1 high,4.31%,8.01%,8.40%,1.81%,3.01%,31.78%,15.49%,47.57%,17.67%,0.77%
gravity**(1/2)_600,2 medium,29.43%,34.59%,20.60%,21.94%,9.88%,33.18%,43.30%,30.85%,37.09%,5.32%
gravity**(1/2)_600,3 low,31.43%,32.61%,17.32%,21.79%,19.60%,26.33%,29.26%,16.14%,30.12%,8.83%
gravity**(1/2)_600,4 no,34.84%,24.79%,53.67%,54.46%,67.51%,8.71%,11.95%,5.44%,15.12%,85.08%
gravity**(1/2)_1000,1 high,3.27%,8.16%,11.35%,0.94%,2.35%,48.00%,21.76%,61.63%,24.71%,0.68%
gravity**(1/2)_1000,2 medium,35.75%,44.91%,22.99%,21.27%,13.30%,39.96%,60.55%,30.06%,47.18%,5.09%
gravity**(1/2)_1000,3 low,49.84%,40.93%,29.43%,45.61%,30.23%,11.76%,16.80%,7.91%,25.71%,21.84%
gravity**(1/2)_1000,4 no,11.14%,6.00%,36.22%,32.18%,54.12%,0.28%,0.88%,0.39%,2.40%,72.39%
gravity**(1/3)_300,1 high,14.46%,16.77%,12.67%,10.73%,2.72%,29.03%,24.28%,51.45%,20.55%,2.36%
gravity**(1/3)_300,2 medium,7.79%,8.94%,5.50%,5.00%,2.26%,10.95%,11.07%,10.15%,10.35%,1.45%
gravity**(1/3)_300,3 low,8.67%,10.15%,5.81%,6.18%,3.81%,10.67%,12.49%,12.11%,12.32%,1.39%
gravity**(1/3)_300,4 no,69.08%,64.14%,76.01%,78.09%,91.21%,49.34%,52.16%,26.29%,56.78%,94.79%
gravity**(1/3)_600,1 high,4.93%,7.24%,6.56%,1.75%,1.97%,24.16%,14.44%,48.99%,15.79%,0.72%
gravity**(1/3)_600,2 medium,28.80%,33.32%,20.12%,21.37%,7.83%,34.26%,41.56%,31.63%,35.05%,4.80%
gravity**(1/3)_600,3 low,31.93%,32.01%,17.54%,21.53%,15.34%,26.10%,30.47%,12.20%,30.74%,8.04%
gravity**(1/3)_600,4 no,34.35%,27.43%,55.78%,55.34%,74.86%,15.48%,13.53%,7.18%,18.42%,86.44%
gravity**(1/3)_1000,1 high,4.18%,7.00%,7.75%,0.81%,1.56%,33.51%,18.89%,62.81%,23.11%,0.72%
gravity**(1/3)_1000,2 medium,36.43%,43.37%,24.59%,20.37%,10.70%,39.77%,57.73%,28.17%,44.66%,4.57%
